l,G_z,ruin,round,type,f_1
1,2.5,0.238,1.48,red,6.22
1,3,0.245,1.49,red,6.08
1,3.5,0.121,1.73,red,14.3
1,4,0.112,1.73,red,15.45
1,4.5,0.118,1.72,red,14.58
1,5,0.117,1.73,red,14.79
1,5.5,0.12,1.73,red,14.42
1,6,0.113,1.71,red,15.13
1,6.5,0.116,1.73,red,14.91
1,7,0.117,1.73,red,14.79
1,7.5,0.058,1.85,red,31.9
1,8,0.06,1.85,red,30.83
1,8.5,0.059,1.85,red,31.36
1,9,0.055,1.83,red,33.27
0.1,0.5,0.497,461.09,mixed,927.7464789
0.1,1,0.354,596.13,mixed,1683.983051
0.1,1.5,0.269,676.74,mixed,2515.762082
0.1,2,0.225,715.2,mixed,3178.666667
0.1,2.5,0.187,757.42,mixed,4050.374332
0.1,3,0.158,782.25,mixed,4950.949367
0.1,3.5,0.178,344.8,mixed,1937.078652
0.1,4,0.15,355.25,mixed,2368.333333
0.1,4.5,0.13,363.33,mixed,2794.846154
0.1,5,0.122,371.12,mixed,3041.967213
0.1,5.5,0.109,366.83,mixed,3365.412844
0.1,6,0.102,372.57,mixed,3652.647059
0.1,6.5,0.092,371.7,mixed,4040.217391
0.1,7,0.087,359.85,mixed,4136.206897
0.1,7.5,0.082,364.58,mixed,4446.097561
0.1,8,0.074,358.69,mixed,4847.162162
0.1,8.5,0.074,362.5,mixed,4898.648649
0.1,9,0.069,346.36,mixed,5019.710145
0.2,0.5,0.465,140.59,mixed,302.344086
0.2,1,0.334,174.44,mixed,522.2754491
0.2,1.5,0.265,195.2,mixed,736.6037736
0.2,2,0.217,211.22,mixed,973.3640553
0.2,2.5,0.191,217.16,mixed,1136.963351
0.2,3,0.178,80.5,mixed,452.247191
0.2,3.5,0.165,80.38,mixed,487.1515152
0.2,4,0.16,84.05,mixed,525.3125
0.2,4.5,0.138,84.6,mixed,613.0434783
0.2,5,0.129,86.44,mixed,670.0775194
0.2,5.5,0.126,89.41,mixed,709.6031746
0.2,6,0.111,87.79,mixed,790.9009009
0.2,6.5,0.11,90.78,mixed,825.2727273
0.2,7,0.1,92.25,mixed,922.5
0.2,7.5,0.094,90.61,mixed,963.9361702
0.2,8,0.083,90.97,mixed,1096.024096
0.2,8.5,0.084,92.28,mixed,1098.571429
0.2,9,0.081,93.01,mixed,1148.271605
0.3,0.5,0.391,76.12,mixed,194.6803069
0.3,1,0.304,86.56,mixed,284.7368421
0.3,1.5,0.233,95.64,mixed,410.472103
0.3,2,0.203,99.69,mixed,491.0837438
0.3,2.5,0.149,40.5,mixed,271.8120805
0.3,3,0.136,42.36,mixed,311.4705882
0.3,3.5,0.137,42.91,mixed,313.2116788
0.3,4,0.128,41.62,mixed,325.15625
0.3,4.5,0.125,42.45,mixed,339.6
0.3,5,0.113,43.45,mixed,384.5132743
0.3,5.5,0.108,43.9,mixed,406.4814815
0.3,6,0.105,42.8,mixed,407.6190476
0.3,6.5,0.101,43.47,mixed,430.3960396
0.3,7,0.098,43.47,mixed,443.5714286
0.3,7.5,0.087,45.09,mixed,518.2758621
0.3,8,0.088,45.17,mixed,513.2954545
0.3,8.5,0.082,46.01,mixed,561.097561
0.3,9,0.086,43.35,mixed,504.0697674
0.4,0.5,0.349,46.56,mixed,133.4097421
0.4,1,0.252,53.77,mixed,213.3730159
0.4,1.5,0.212,56.51,mixed,266.5566038
0.4,2,0.142,25.64,mixed,180.5633803
0.4,2.5,0.116,25.93,mixed,223.5344828
0.4,3,0.119,26.01,mixed,218.5714286
0.4,3.5,0.117,26.31,mixed,224.8717949
0.4,4,0.109,26.51,mixed,243.2110092
0.4,4.5,0.101,27.4,mixed,271.2871287
0.4,5,0.096,26.83,mixed,279.4791667
0.4,5.5,0.089,27.56,mixed,309.6629213
0.4,6,0.094,27.16,mixed,288.9361702
0.4,6.5,0.087,27.4,mixed,314.9425287
0.4,7,0.083,27.52,mixed,331.5662651
0.4,7.5,0.08,28.1,mixed,351.25
0.4,8,0.085,27.67,mixed,325.5294118
0.4,8.5,0.07,28.39,mixed,405.5714286
0.4,9,0.07,27.93,mixed,399
0.5,0.5,0.254,33.92,mixed,133.5433071
0.5,1,0.239,34.23,mixed,143.2217573
0.5,1.5,0.11,18.61,mixed,169.1818182
0.5,2,0.111,18.22,mixed,164.1441441
0.5,2.5,0.099,18.37,mixed,185.5555556
0.5,3,0.104,18.42,mixed,177.1153846
0.5,3.5,0.101,18.38,mixed,181.980198
0.5,4,0.086,19.17,mixed,222.9069767
0.5,4.5,0.084,19.2,mixed,228.5714286
0.5,5,0.085,18.76,mixed,220.7058824
0.5,5.5,0.087,18.92,mixed,217.4712644
0.5,6,0.074,19.18,mixed,259.1891892
0.5,6.5,0.069,19.05,mixed,276.0869565
0.5,7,0.079,18.95,mixed,239.8734177
0.5,7.5,0.077,18.98,mixed,246.4935065
0.5,8,0.078,18.93,mixed,242.6923077
0.5,8.5,0.06,19.96,mixed,332.6666667
0.5,9,0.057,19.83,mixed,347.8947368
0.6,0.5,0.217,24.02,mixed,110.6912442
0.6,1,0.098,13.59,mixed,138.6734694
0.6,1.5,0.092,13.67,mixed,148.5869565
0.6,2,0.094,13.33,mixed,141.8085106
0.6,2.5,0.085,13.58,mixed,159.7647059
0.6,3,0.077,13.94,mixed,181.038961
0.6,3.5,0.078,13.99,mixed,179.3589744
0.6,4,0.075,13.96,mixed,186.1333333
0.6,4.5,0.071,14.11,mixed,198.7323944
0.6,5,0.073,14.15,mixed,193.8356164
0.6,5.5,0.066,14.17,mixed,214.6969697
0.6,6,0.065,14.32,mixed,220.3076923
0.6,6.5,0.066,13.86,mixed,210
0.6,7,0.068,13.93,mixed,204.8529412
0.6,7.5,0.062,14.01,mixed,225.9677419
0.6,8,0.054,14.4,mixed,266.6666667
0.6,8.5,0.053,14.38,mixed,271.3207547
0.6,9,0.054,14.34,mixed,265.5555556
0.7,0.5,0.09,10.15,mixed,112.7777778
0.7,1,0.087,10.25,mixed,117.816092
0.7,1.5,0.076,10.49,mixed,138.0263158
0.7,2,0.071,10.6,mixed,149.2957746
0.7,2.5,0.068,10.47,mixed,153.9705882
0.7,3,0.066,10.46,mixed,158.4848485
0.7,3.5,0.062,10.45,mixed,168.5483871
0.7,4,0.062,10.49,mixed,169.1935484
0.7,4.5,0.065,10.44,mixed,160.6153846
0.7,5,0.063,10.54,mixed,167.3015873
0.7,5.5,0.057,10.59,mixed,185.7894737
0.7,6,0.056,10.59,mixed,189.1071429
0.7,6.5,0.062,10.6,mixed,170.9677419
0.7,7,0.047,10.94,mixed,232.7659574
0.7,7.5,0.048,10.88,mixed,226.6666667
0.7,8,0.049,10.9,mixed,222.4489796
0.7,8.5,0.046,10.94,mixed,237.826087
0.7,9,0.047,10.9,mixed,231.9148936
0.8,0.5,0.069,8.15,mixed,118.115942
0.8,1,0.062,8.2,mixed,132.2580645
0.8,1.5,0.07,8.11,mixed,115.8571429
0.8,2,0.059,8.22,mixed,139.3220339
0.8,2.5,0.062,8.23,mixed,132.7419355
0.8,3,0.06,8.29,mixed,138.1666667
0.8,3.5,0.056,8.27,mixed,147.6785714
0.8,4,0.058,8.29,mixed,142.9310345
0.8,4.5,0.061,8.25,mixed,135.2459016
0.8,5,0.044,8.41,mixed,191.1363636
0.8,5.5,0.041,8.44,mixed,205.8536585
0.8,6,0.041,8.41,mixed,205.1219512
0.8,6.5,0.041,8.48,mixed,206.8292683
0.8,7,0.04,8.44,mixed,211
0.8,7.5,0.038,8.44,mixed,222.1052632
0.8,8,0.038,8.47,mixed,222.8947368
0.8,8.5,0.037,8.47,mixed,228.9189189
0.8,9,0.037,8.4,mixed,227.027027
0.9,0.5,0.06,5.12,mixed,85.33333333
0.9,1,0.057,5.05,mixed,88.59649123
0.9,1.5,0.049,5.07,mixed,103.4693878
0.9,2,0.051,5.08,mixed,99.60784314
0.9,2.5,0.039,5.28,mixed,135.3846154
0.9,3,0.041,5.25,mixed,128.0487805
0.9,3.5,0.043,5.26,mixed,122.3255814
0.9,4,0.041,5.23,mixed,127.5609756
0.9,4.5,0.035,5.26,mixed,150.2857143
0.9,5,0.037,5.24,mixed,141.6216216
0.9,5.5,0.035,5.25,mixed,150
0.9,6,0.038,5.26,mixed,138.4210526
0.9,6.5,0.038,5.24,mixed,137.8947368
0.9,7,0.037,5.26,mixed,142.1621622
0.9,7.5,0.035,5.26,mixed,150.2857143
0.9,8,0.035,5.27,mixed,150.5714286
0.9,8.5,0.036,5.29,mixed,146.9444444
0.9,9,0.03,5.33,mixed,177.6666667
1,0.5,0.027,1,mixed,37.03703704
1,1,0.027,1,mixed,37.03703704
1,1.5,0.029,1,mixed,34.48275862
1,2,0.028,1,mixed,35.71428571
1,2.5,0.029,1,mixed,34.48275862
1,3,0.027,1,mixed,37.03703704
1,3.5,0.026,1,mixed,38.46153846
1,4,0.027,1,mixed,37.03703704
1,4.5,0.03,1,mixed,33.33333333
1,5,0.03,1,mixed,33.33333333
1,5.5,0.026,1,mixed,38.46153846
1,6,0.027,1,mixed,37.03703704
1,6.5,0.028,1,mixed,35.71428571
1,7,0.027,1,mixed,37.03703704
1,7.5,0.029,1,mixed,34.48275862
1,8,0.026,1,mixed,38.46153846
1,8.5,0.026,1,mixed,38.46153846
1,9,0.028,1,mixed,35.71428571
